frame,x,y,body_part
0.0,296.0,198.0,neck
0.0,253.0,200.0,dx_shoulder
0.0,240.0,278.0,dx_elbow
0.0,239.0,351.0,dx_hand
0.0,348.0,196.0,sx_shoulder
0.0,357.0,275.0,sx_elbow
0.0,362.0,348.0,sx_hand
1.0,296.0,200.0,neck
1.0,254.0,202.0,dx_shoulder
1.0,241.0,285.0,dx_elbow
1.0,238.0,354.0,dx_hand
1.0,347.0,198.0,sx_shoulder
1.0,359.0,282.0,sx_elbow
1.0,364.0,348.0,sx_hand
2.0,296.0,200.0,neck
2.0,254.0,202.0,dx_shoulder
2.0,241.0,285.0,dx_elbow
2.0,239.0,356.0,dx_hand
2.0,349.0,198.0,sx_shoulder
2.0,359.0,282.0,sx_elbow
2.0,366.0,348.0,sx_hand
3.0,298.0,200.0,neck
3.0,254.0,202.0,dx_shoulder
3.0,241.0,285.0,dx_elbow
3.0,240.0,354.0,dx_hand
3.0,349.0,198.0,sx_shoulder
3.0,361.0,282.0,sx_elbow
3.0,369.0,348.0,sx_hand
4.0,298.0,200.0,neck
4.0,254.0,202.0,dx_shoulder
4.0,241.0,287.0,dx_elbow
4.0,239.0,356.0,dx_hand
4.0,349.0,198.0,sx_shoulder
4.0,361.0,284.0,sx_elbow
4.0,367.0,350.0,sx_hand
5.0,298.0,200.0,neck
5.0,254.0,202.0,dx_shoulder
5.0,241.0,287.0,dx_elbow
5.0,240.0,354.0,dx_hand
5.0,349.0,198.0,sx_shoulder
5.0,361.0,284.0,sx_elbow
5.0,369.0,348.0,sx_hand
6.0,298.0,200.0,neck
6.0,254.0,202.0,dx_shoulder
6.0,241.0,285.0,dx_elbow
6.0,240.0,354.0,dx_hand
6.0,349.0,198.0,sx_shoulder
6.0,361.0,284.0,sx_elbow
6.0,369.0,348.0,sx_hand
7.0,296.0,200.0,neck
7.0,254.0,202.0,dx_shoulder
7.0,241.0,287.0,dx_elbow
7.0,240.0,354.0,dx_hand
7.0,349.0,198.0,sx_shoulder
7.0,361.0,284.0,sx_elbow
7.0,367.0,350.0,sx_hand
8.0,296.0,200.0,neck
8.0,254.0,202.0,dx_shoulder
8.0,241.0,285.0,dx_elbow
8.0,241.0,354.0,dx_hand
8.0,349.0,198.0,sx_shoulder
8.0,361.0,282.0,sx_elbow
8.0,366.0,348.0,sx_hand
9.0,298.0,200.0,neck
9.0,253.0,200.0,dx_shoulder
9.0,242.0,283.0,dx_elbow
9.0,241.0,354.0,dx_hand
9.0,349.0,198.0,sx_shoulder
9.0,361.0,279.0,sx_elbow
9.0,366.0,348.0,sx_hand
10.0,296.0,200.0,neck
10.0,253.0,200.0,dx_shoulder
10.0,241.0,285.0,dx_elbow
10.0,240.0,354.0,dx_hand
10.0,347.0,198.0,sx_shoulder
10.0,356.0,282.0,sx_elbow
10.0,362.0,348.0,sx_hand
11.0,296.0,200.0,neck
11.0,251.0,203.0,dx_shoulder
11.0,241.0,285.0,dx_elbow
11.0,239.0,354.0,dx_hand
11.0,347.0,198.0,sx_shoulder
11.0,355.0,284.0,sx_elbow
11.0,359.0,351.0,sx_hand
12.0,296.0,200.0,neck
12.0,254.0,202.0,dx_shoulder
12.0,241.0,287.0,dx_elbow
12.0,240.0,354.0,dx_hand
12.0,347.0,198.0,sx_shoulder
12.0,355.0,284.0,sx_elbow
12.0,359.0,351.0,sx_hand
13.0,296.0,200.0,neck
13.0,254.0,202.0,dx_shoulder
13.0,241.0,285.0,dx_elbow
13.0,240.0,354.0,dx_hand
13.0,347.0,198.0,sx_shoulder
13.0,356.0,284.0,sx_elbow
13.0,359.0,351.0,sx_hand
14.0,296.0,200.0,neck
14.0,254.0,202.0,dx_shoulder
14.0,241.0,285.0,dx_elbow
14.0,240.0,354.0,dx_hand
14.0,347.0,198.0,sx_shoulder
14.0,356.0,284.0,sx_elbow
14.0,359.0,353.0,sx_hand
15.0,296.0,200.0,neck
15.0,251.0,203.0,dx_shoulder
15.0,241.0,285.0,dx_elbow
15.0,240.0,354.0,dx_hand
15.0,347.0,198.0,sx_shoulder
15.0,355.0,287.0,sx_elbow
15.0,359.0,351.0,sx_hand
16.0,294.0,198.0,neck
16.0,251.0,200.0,dx_shoulder
16.0,240.0,283.0,dx_elbow
16.0,240.0,354.0,dx_hand
16.0,347.0,198.0,sx_shoulder
16.0,355.0,284.0,sx_elbow
16.0,359.0,351.0,sx_hand
17.0,297.0,199.0,neck
17.0,253.5,201.0,dx_shoulder
17.0,241.5,284.0,dx_elbow
