frame,x,y,score,body_part
0,296,198,0.9378541111946106,neck
0,253,200,0.8790472745895386,dx_shoulder
0,238,278,0.9092196226119995,dx_elbow
0,235,351,0.8693474531173706,dx_hand
0,347,198,0.9102497696876526,sx_shoulder
0,356,277,0.8582894206047058,sx_elbow
0,359,348,0.8936454057693481,sx_hand
1,294,198,0.9263620376586914,neck
1,251,198,0.85311359167099,dx_shoulder
1,238,275,0.9124521017074585,dx_elbow
1,235,351,0.8563422560691833,dx_hand
1,346,196,0.8837308287620544,sx_shoulder
1,356,272,0.8967812061309814,sx_elbow
1,359,346,0.8966490626335144,sx_hand
2,294,196,0.924473762512207,neck
2,251,195,0.8259778022766113,dx_shoulder
2,238,275,0.9078686237335205,dx_elbow
2,235,349,0.8435249924659729,dx_hand
2,346,193,0.865772008895874,sx_shoulder
2,356,272,0.8908880949020386,sx_elbow
2,359,346,0.9003186225891113,sx_hand
3,294,196,0.9298105239868164,neck
3,251,195,0.8291571736335754,dx_shoulder
3,238,275,0.9006342887878418,dx_elbow
3,235,349,0.8449267148971558,dx_hand
3,346,196,0.8721170425415039,sx_shoulder
3,356,272,0.8939417004585266,sx_elbow
3,359,346,0.9010170698165894,sx_hand
4,295,193,0.8899754881858826,neck
4,253,190,0.8505984544754028,dx_shoulder
4,239,273,0.9104911088943481,dx_elbow
4,239,347,0.8428177237510681,dx_hand
4,347,193,0.8660789728164673,sx_shoulder
4,356,272,0.8982354402542114,sx_elbow
4,360,343,0.8596522808074951,sx_hand
5,295,191,0.8652522563934326,neck
5,253,188,0.8624118566513062,dx_shoulder
5,239,273,0.9047727584838867,dx_elbow
5,239,344,0.8445085883140564,dx_hand
5,347,188,0.8555353879928589,sx_shoulder
5,360,270,0.8924195170402527,sx_elbow
5,364,343,0.8274117708206177,sx_hand
6,295,193,0.8834819197654724,neck
6,253,188,0.851074755191803,dx_shoulder
6,238,273,0.9041752219200134,dx_elbow
6,237,344,0.8179493546485901,dx_hand
6,347,193,0.860120415687561,sx_shoulder
6,356,270,0.9082790017127991,sx_elbow
6,359,343,0.8700305223464966,sx_hand
7,294,193,0.9023626446723938,neck
7,251,188,0.8397622108459473,dx_shoulder
7,238,273,0.8950419425964355,dx_elbow
7,230,345,0.8088139891624451,dx_hand
7,346,193,0.8424440622329712,sx_shoulder
7,354,270,0.9092366695404053,sx_elbow
7,359,343,0.8854807615280151,sx_hand
8,293,196,0.9326627254486084,neck
8,248,195,0.8140271306037903,dx_shoulder
8,238,275,0.9111666083335876,dx_elbow
8,230,347,0.8237898945808411,dx_hand
8,344,196,0.8524094820022583,sx_shoulder
8,354,270,0.8957163691520691,sx_elbow
8,358,346,0.9013271331787109,sx_hand
9,293,196,0.9368101954460144,neck
9,248,195,0.8095788359642029,dx_shoulder
9,238,275,0.9181278944015503,dx_elbow
9,230,347,0.8384103775024414,dx_hand
9,344,196,0.8602453470230103,sx_shoulder
9,354,272,0.9025538563728333,sx_elbow
9,358,346,0.9116997718811035,sx_hand
10,293,198,0.9382134675979614,neck
10,249,198,0.8289409875869751,dx_shoulder
10,238,275,0.9185316562652588,dx_elbow
10,230,349,0.8457270860671997,dx_hand
10,346,196,0.8788293600082397,sx_shoulder
10,356,272,0.9069984555244446,sx_elbow
10,359,346,0.9134676456451416,sx_hand
11,294,198,0.9317958354949951,neck
11,251,198,0.8369458913803101,dx_shoulder
11,238,275,0.9185384511947632,dx_elbow
11,230,349,0.855331301689148,dx_hand
11,346,196,0.8894280195236206,sx_shoulder
11,356,272,0.9012324213981628,sx_elbow
11,361,346,0.8840734362602234,sx_hand
12,293,198,0.9409464597702026,neck
12,251,198,0.8368425965309143,dx_shoulder
12,238,275,0.9237654209136963,dx_elbow
12,230,349,0.8596256971359253,dx_hand
12,346,196,0.8786088228225708,sx_shoulder
12,356,272,0.9148687124252319,sx_elbow
12,359,346,0.9135552644729614,sx_hand
13,293,198,0.9520730972290039,neck
13,249,198,0.8327811360359192,dx_shoulder
13,238,278,0.8998510241508484,dx_elbow
13,230,352,0.8740516901016235,dx_hand
13,345,196,0.8776930570602417,sx_shoulder
13,354,272,0.889290988445282,sx_elbow
13,358,348,0.923804521560669,sx_hand
14,293,198,0.9561405181884766,neck
14,249,198,0.8330541849136353,dx_shoulder
14,238,275,0.9024256467819214,dx_elbow
14,228,352,0.8845270872116089,dx_hand
14,344,196,0.8720711469650269,sx_shoulder
14,355,275,0.8828088641166687,sx_elbow
14,357,348,0.9264968037605286,sx_hand
15,292,198,0.9498646259307861,neck
15,246,198,0.8202748894691467,dx_shoulder
15,237,276,0.8946436047554016,dx_elbow
15,228,349,0.8854287266731262,dx_hand
15,341,196,0.8577450513839722,sx_shoulder
15,353,275,0.8850657939910889,sx_elbow
15,357,348,0.922539472579956,sx_hand
16,293,198,0.9590996503829956,neck
16,249,198,0.8288610577583313,dx_shoulder
16,238,278,0.9007312059402466,dx_elbow
16,228,352,0.8897274136543274,dx_hand
16,341,196,0.8652943968772888,sx_shoulder
16,353,277,0.8662903904914856,sx_elbow
16,357,348,0.9217280149459839,sx_hand
17,293,198,0.956344485282898,neck
17,251,200,0.8383861780166626,dx_shoulder
17,238,278,0.9028980731964111,dx_elbow
17,230,352,0.8822332620620728,dx_hand
17,344,196,0.8773196935653687,sx_shoulder
17,353,277,0.8675483465194702,sx_elbow
17,358,348,0.922014057636261,sx_hand
18,293,198,0.9548455476760864,neck
18,251,200,0.8617596626281738,dx_shoulder
18,238,278,0.9024927616119385,dx_elbow
18,233,352,0.8827588558197021,dx_hand
18,346,198,0.8851498961448669,sx_shoulder
18,355,280,0.8576478958129883,sx_elbow
18,358,348,0.9056786298751831,sx_hand
19,294,198,0.9351880550384521,neck
19,253,200,0.87935471534729,dx_shoulder
19,238,278,0.9124549627304077,dx_elbow
19,235,351,0.8846942186355591,dx_hand
19,347,198,0.906004786491394,sx_shoulder
19,356,277,0.8481937646865845,sx_elbow
19,359,348,0.885673999786377,sx_hand
20,296,198,0.9325608015060425,neck
20,253,200,0.8775755763053894,dx_shoulder
20,238,278,0.9155793190002441,dx_elbow
20,235,351,0.882279634475708,dx_hand
20,347,198,0.9131041765213013,sx_shoulder
20,356,277,0.8526725769042969,sx_elbow
20,359,348,0.8883524537086487,sx_hand
21,294,198,0.9373889565467834,neck
21,251,200,0.8691685795783997,dx_shoulder
21,238,278,0.9267242550849915,dx_elbow
21,235,351,0.8861018419265747,dx_hand
21,347,196,0.9075283408164978,sx_shoulder
21,356,275,0.872627317905426,sx_elbow
21,361,346,0.8868904709815979,sx_hand
22,296,198,0.9286129474639893,neck
22,253,200,0.8825908303260803,dx_shoulder
22,239,278,0.9285295605659485,dx_elbow
22,238,351,0.8936856389045715,dx_hand
22,347,196,0.9204686880111694,sx_shoulder
22,356,272,0.8780947923660278,sx_elbow
22,361,346,0.8680688142776489,sx_hand
23,296,198,0.9281591773033142,neck
23,253,200,0.892953097820282,dx_shoulder
23,239,278,0.916366696357727,dx_elbow
23,238,351,0.887651801109314,dx_hand
23,347,196,0.9277245998382568,sx_shoulder
23,358,275,0.8450291156768799,sx_elbow
23,362,348,0.866459310054779,sx_hand
24,296,198,0.9291042685508728,neck
24,253,200,0.8925495147705078,dx_shoulder
24,240,278,0.9121770262718201,dx_elbow
24,239,351,0.8940805792808533,dx_hand
24,347,198,0.9263738393783569,sx_shoulder
24,356,275,0.857408344745636,sx_elbow
24,362,348,0.872514009475708,sx_hand
25,296,198,0.9259682893753052,neck
25,253,200,0.8839244842529297,dx_shoulder
25,239,278,0.9243517518043518,dx_elbow
25,238,351,0.888207733631134,dx_hand
25,347,196,0.9206466674804688,sx_shoulder
