frame,x,y,body_part
0,296,198,neck
0,253,200,dx_shoulder
0,240,278,dx_elbow
0,239,351,dx_hand
0,348,196,sx_shoulder
0,357,275,sx_elbow
0,362,348,sx_hand
1,296,200,neck
1,254,202,dx_shoulder
1,241,285,dx_elbow
1,238,354,dx_hand
1,347,198,sx_shoulder
1,359,282,sx_elbow
1,364,348,sx_hand
2,296,200,neck
2,254,202,dx_shoulder
2,241,285,dx_elbow
2,239,356,dx_hand
2,349,198,sx_shoulder
2,359,282,sx_elbow
2,366,348,sx_hand
3,298,200,neck
3,254,202,dx_shoulder
3,241,285,dx_elbow
3,240,354,dx_hand
3,349,198,sx_shoulder
3,361,282,sx_elbow
3,369,348,sx_hand
4,298,200,neck
4,254,202,dx_shoulder
4,241,287,dx_elbow
4,239,356,dx_hand
4,349,198,sx_shoulder
4,361,284,sx_elbow
4,367,350,sx_hand
5,298,200,neck
5,254,202,dx_shoulder
5,241,287,dx_elbow
5,240,354,dx_hand
5,349,198,sx_shoulder
5,361,284,sx_elbow
5,369,348,sx_hand
6,298,200,neck
6,254,202,dx_shoulder
6,241,285,dx_elbow
6,240,354,dx_hand
6,349,198,sx_shoulder
6,361,284,sx_elbow
6,369,348,sx_hand
7,296,200,neck
7,254,202,dx_shoulder
7,241,287,dx_elbow
7,240,354,dx_hand
7,349,198,sx_shoulder
7,361,284,sx_elbow
7,367,350,sx_hand
8,296,200,neck
8,254,202,dx_shoulder
8,241,285,dx_elbow
8,241,354,dx_hand
8,349,198,sx_shoulder
8,361,282,sx_elbow
8,366,348,sx_hand
9,298,200,neck
9,253,200,dx_shoulder
9,242,283,dx_elbow
9,241,354,dx_hand
9,349,198,sx_shoulder
9,361,279,sx_elbow
9,366,348,sx_hand
10,296,200,neck
10,253,200,dx_shoulder
10,241,285,dx_elbow
10,240,354,dx_hand
10,347,198,sx_shoulder
10,356,282,sx_elbow
10,362,348,sx_hand
11,296,200,neck
11,251,203,dx_shoulder
11,241,285,dx_elbow
11,239,354,dx_hand
11,347,198,sx_shoulder
11,355,284,sx_elbow
11,359,351,sx_hand
12,296,200,neck
12,254,202,dx_shoulder
12,241,287,dx_elbow
12,240,354,dx_hand
12,347,198,sx_shoulder
12,355,284,sx_elbow
12,359,351,sx_hand
13,296,200,neck
13,254,202,dx_shoulder
13,241,285,dx_elbow
13,240,354,dx_hand
13,347,198,sx_shoulder
13,356,284,sx_elbow
13,359,351,sx_hand
14,296,200,neck
14,254,202,dx_shoulder
14,241,285,dx_elbow
14,240,354,dx_hand
14,347,198,sx_shoulder
14,356,284,sx_elbow
14,359,353,sx_hand
15,296,200,neck
15,251,203,dx_shoulder
15,241,285,dx_elbow
15,240,354,dx_hand
15,347,198,sx_shoulder
15,355,287,sx_elbow
15,359,351,sx_hand
16,294,198,neck
16,251,200,dx_shoulder
16,240,283,dx_elbow
16,240,354,dx_hand
16,347,198,sx_shoulder
16,355,284,sx_elbow
16,359,351,sx_hand
17,296,198,neck
17,253,200,dx_shoulder
17,240,283,dx_elbow
17,240,354,dx_hand
17,347,198,sx_shoulder
17,356,284,sx_elbow
17,359,351,sx_hand
18,296,198,neck
18,253,200,dx_shoulder
18,240,283,dx_elbow
18,241,354,dx_hand
18,349,198,sx_shoulder
18,356,284,sx_elbow
18,359,348,sx_hand
19,296,198,neck
19,253,200,dx_shoulder
19,240,280,dx_elbow
19,240,351,dx_hand
19,347,196,sx_shoulder
19,355,282,sx_elbow
19,362,348,sx_hand
20,296,198,neck
20,253,200,dx_shoulder
20,240,280,dx_elbow
20,239,354,dx_hand
20,347,198,sx_shoulder
20,356,284,sx_elbow
20,360,350,sx_hand
21,294,201,neck
21,251,203,dx_shoulder
21,239,283,dx_elbow
21,238,354,dx_hand
21,347,198,sx_shoulder
21,356,287,sx_elbow
21,362,350,sx_hand
22,294,201,neck
22,254,202,dx_shoulder
22,241,285,dx_elbow
22,228,354,dx_hand
22,346,198,sx_shoulder
22,356,284,sx_elbow
22,369,350,sx_hand
23,296,200,neck
23,254,202,dx_shoulder
23,238,280,dx_elbow
23,223,354,dx_hand
23,347,198,sx_shoulder
23,361,277,sx_elbow
23,376,347,sx_hand
24,298,200,neck
24,254,202,dx_shoulder
24,234,278,dx_elbow
24,206,348,dx_hand
24,347,198,sx_shoulder
24,370,272,sx_elbow
24,393,342,sx_hand
25,298,200,neck
