frame,x,y,body_part
0,235,302,pelvis
0,200,304,dx_hip
0,220,451,dx_knee
0,238,583,dx_foot
0,271,297,sx_hip
0,273,444,sx_knee
0,271,585,sx_foot
1,233,297,pelvis
1,193,304,dx_hip
1,218,451,dx_knee
1,238,585,dx_foot
1,271,293,sx_hip
1,289,439,sx_knee
1,313,585,sx_foot
2,222,289,pelvis
2,186,295,dx_hip
2,216,453,dx_knee
2,238,588,dx_foot
2,267,281,sx_hip
2,333,415,sx_knee
2,408,546,sx_foot
3,220,284,pelvis
3,184,293,dx_hip
3,218,455,dx_knee
3,238,594,dx_foot
3,259,275,sx_hip
3,359,361,sx_knee
3,495,461,sx_foot
4,220,277,pelvis
4,184,291,dx_hip
4,220,451,dx_knee
4,240,585,dx_foot
4,257,261,sx_hip
4,395,328,sx_knee
4,542,361,sx_foot
5,220,277,pelvis
5,184,291,dx_hip
5,222,455,dx_knee
5,240,590,dx_foot
5,259,259,sx_hip
5,404,308,sx_knee
5,548,326,sx_foot
6,219,279,pelvis
6,182,293,dx_hip
6,218,451,dx_knee
6,238,585,dx_foot
6,257,264,sx_hip
6,386,328,sx_knee
6,542,370,sx_foot
7,218,286,pelvis
7,178,293,dx_hip
7,216,451,dx_knee
7,238,588,dx_foot
7,255,275,sx_hip
7,357,361,sx_knee
7,489,464,sx_foot
8,219,289,pelvis
8,182,293,dx_hip
8,218,451,dx_knee
8,238,585,dx_foot
8,257,277,sx_hip
8,333,410,sx_knee
8,402,534,sx_foot
9,222,291,pelvis
9,186,297,dx_hip
9,218,448,dx_knee
9,238,585,dx_foot
9,268,284,sx_hip
9,289,428,sx_knee
9,319,579,sx_foot
10,227,293,pelvis
10,189,302,dx_hip
10,218,446,dx_knee
10,238,583,dx_foot
10,269,291,sx_hip
10,270,442,sx_knee
10,269,583,sx_foot
11,225,304,pelvis
11,189,308,dx_hip
11,218,448,dx_knee
11,238,585,dx_foot
11,267,297,sx_hip
11,267,446,sx_knee
11,269,588,sx_foot
