frame,x,y,score,body_part
0,309,127,0,head
0,302,202,0,neck
0,262,202,0,dx_shoulder
0,246,279,0,dx_elbow
0,239,346,0,dx_hand
0,353,202,0,sx_shoulder
0,355,286,0,sx_elbow
0,360,360,0,sx_hand
1,311,127,0,head
1,306,200,0,neck
1,265,200,0,dx_shoulder
1,246,276,0,dx_elbow
1,241,344,0,dx_hand
1,353,202,0,sx_shoulder
1,358,288,0,sx_elbow
1,362,360,0,sx_hand
2,313,127,0,head
2,309,200,0,neck
2,265,200,0,dx_shoulder
2,246,276,0,dx_elbow
2,241,344,0,dx_hand
2,353,200,0,sx_shoulder
2,358,279,0,sx_elbow
2,367,358,0,sx_hand
3,313,127,0,head
3,309,200,0,neck
3,265,202,0,dx_shoulder
3,246,283,0,dx_elbow
3,241,346,0,dx_hand
3,353,200,0,sx_shoulder
3,358,276,0,sx_elbow
3,367,358,0,sx_hand
4,313,127,0,head
4,302,202,0,neck
4,262,202,0,dx_shoulder
4,246,281,0,dx_elbow
4,239,348,0,dx_hand
4,351,202,0,sx_shoulder
4,355,281,0,sx_elbow
4,360,358,0,sx_hand
5,313,127,0,head
5,302,202,0,neck
5,262,202,0,dx_shoulder
5,246,283,0,dx_elbow
5,237,351,0,dx_hand
5,351,202,0,sx_shoulder
5,355,281,0,sx_elbow
5,360,360,0,sx_hand
6,313,127,0,head
6,304,202,0,neck
6,262,202,0,dx_shoulder
6,246,281,0,dx_elbow
6,237,355,0,dx_hand
6,353,202,0,sx_shoulder
6,358,283,0,sx_elbow
6,362,360,0,sx_hand
7,313,127,0,head
7,304,202,0,neck
7,262,202,0,dx_shoulder
7,246,276,0,dx_elbow
7,237,351,0,dx_hand
7,353,202,0,sx_shoulder
7,358,279,0,sx_elbow
7,362,360,0,sx_hand
8,313,127,0,head
8,302,200,0,neck
8,262,200,0,dx_shoulder
8,246,274,0,dx_elbow
8,232,351,0,dx_hand
8,351,202,0,sx_shoulder
8,355,286,0,sx_elbow
8,358,362,0,sx_hand
9,313,125,0,head
9,304,200,0,neck
9,262,200,0,dx_shoulder
9,246,274,0,dx_elbow
9,234,348,0,dx_hand
9,353,200,0,sx_shoulder
9,358,283,0,sx_elbow
9,362,358,0,sx_hand
10,313,125,0,head
10,309,200,0,neck
10,265,200,0,dx_shoulder
10,248,274,0,dx_elbow
10,237,348,0,dx_hand
10,353,200,0,sx_shoulder
