frame,x,y,score,body_part
17,313,127,0,head
17,304,200,0,neck
17,262,200,0,dx_shoulder
17,246,279,0,dx_elbow
17,234,355,0,dx_hand
17,353,202,0,sx_shoulder
17,358,290,0,sx_elbow
17,365,358,0,sx_hand
18,313,127,0,head
18,306,200,0,neck
18,265,200,0,dx_shoulder
18,246,283,0,dx_elbow
18,237,358,0,dx_hand
18,353,200,0,sx_shoulder
18,358,288,0,sx_elbow
18,365,360,0,sx_hand
19,311,127,0,head
19,302,200,0,neck
19,262,200,0,dx_shoulder
19,246,279,0,dx_elbow
19,234,351,0,dx_hand
19,351,200,0,sx_shoulder
19,355,286,0,sx_elbow
19,362,360,0,sx_hand
20,309,127,0,head
20,302,200,0,neck
20,262,202,0,dx_shoulder
20,246,279,0,dx_elbow
20,232,355,0,dx_hand
20,351,202,0,sx_shoulder
20,355,288,0,sx_elbow
20,362,360,0,sx_hand
21,309,127,0,head
21,302,200,0,neck
21,262,202,0,dx_shoulder
21,246,279,0,dx_elbow
21,230,355,0,dx_hand
21,351,200,0,sx_shoulder
21,355,286,0,sx_elbow
21,362,360,0,sx_hand
22,306,127,0,head
22,302,202,0,neck
22,262,202,0,dx_shoulder
22,246,276,0,dx_elbow
22,227,348,0,dx_hand
22,351,202,0,sx_shoulder
22,355,288,0,sx_elbow
22,365,360,0,sx_hand
23,306,127,0,head
23,302,202,0,neck
23,262,202,0,dx_shoulder
23,246,276,0,dx_elbow
23,227,348,0,dx_hand
23,351,202,0,sx_shoulder
23,355,288,0,sx_elbow
23,369,360,0,sx_hand
24,306,127,0,head
24,302,202,0,neck
24,262,202,0,dx_shoulder
24,244,276,0,dx_elbow
24,225,348,0,dx_hand
24,351,202,0,sx_shoulder
24,355,286,0,sx_elbow
24,372,360,0,sx_hand
25,309,127,0,head
25,302,202,0,neck
25,262,202,0,dx_shoulder
25,244,283,0,dx_elbow
25,213,351,0,dx_hand
25,351,202,0,sx_shoulder
25,358,283,0,sx_elbow
25,374,362,0,sx_hand
26,309,127,0,head
26,302,202,0,neck
26,262,202,0,dx_shoulder
26,239,279,0,dx_elbow
26,206,346,0,dx_hand
26,348,202,0,sx_shoulder
26,362,281,0,sx_elbow
26,383,360,0,sx_hand
27,306,127,0,head
27,302,200,0,neck
27,262,200,0,dx_shoulder
27,230,279,0,dx_elbow
27,197,346,0,dx_hand
27,348,200,0,sx_shoulder
27,367,274,0,sx_elbow
27,393,351,0,sx_hand
28,306,127,0,head
28,302,200,0,neck
28,262,200,0,dx_shoulder
28,227,274,0,dx_elbow
28,190,341,0,dx_hand
28,348,200,0,sx_shoulder
28,372,274,0,sx_elbow
28,402,348,0,sx_hand
29,309,127,0,head
29,302,200,0,neck
29,262,200,0,dx_shoulder
29,225,272,0,dx_elbow
29,176,339,0,dx_hand
29,348,200,0,sx_shoulder
29,374,274,0,sx_elbow
29,409,346,0,sx_hand
30,309,127,0,head
30,302,200,0,neck
30,262,200,0,dx_shoulder
30,220,269,0,dx_elbow
30,172,332,0,dx_hand
30,348,200,0,sx_shoulder
30,376,272,0,sx_elbow
30,425,344,0,sx_hand
31,306,127,0,head
31,302,200,0,neck
31,262,200,0,dx_shoulder
31,211,265,0,dx_elbow
31,155,327,0,dx_hand
31,346,200,0,sx_shoulder
31,388,272,0,sx_elbow
31,430,334,0,sx_hand
32,306,127,0,head
32,300,200,0,neck
32,260,200,0,dx_shoulder
32,209,255,0,dx_elbow
32,144,313,0,dx_hand
32,346,200,0,sx_shoulder
32,390,262,0,sx_elbow
32,444,327,0,sx_hand
33,306,127,0,head
33,300,200,0,neck
33,260,200,0,dx_shoulder
33,206,253,0,dx_elbow
33,134,306,0,dx_hand
33,348,200,0,sx_shoulder
33,393,258,0,sx_elbow
33,455,318,0,sx_hand
34,311,127,0,head
34,302,200,0,neck
34,260,200,0,dx_shoulder
34,195,248,0,dx_elbow
34,127,290,0,dx_hand
34,351,200,0,sx_shoulder
34,402,253,0,sx_elbow
34,465,309,0,sx_hand
35,311,125,0,head
35,302,200,0,neck
35,260,200,0,dx_shoulder
35,193,241,0,dx_elbow
35,118,279,0,dx_hand
35,353,200,0,sx_shoulder
35,409,253,0,sx_elbow
35,481,293,0,sx_hand
36,309,125,0,head
36,302,200,0,neck
36,260,200,0,dx_shoulder
36,193,234,0,dx_elbow
36,113,269,0,dx_hand
36,353,200,0,sx_shoulder
36,409,244,0,sx_elbow
36,483,288,0,sx_hand
37,306,125,0,head
37,302,197,0,neck
37,258,200,0,dx_shoulder
37,190,230,0,dx_elbow
37,106,253,0,dx_hand
37,351,197,0,sx_shoulder
37,418,239,0,sx_elbow
37,493,274,0,sx_hand
38,306,125,0,head
38,300,197,0,neck
38,255,197,0,dx_shoulder
38,186,223,0,dx_elbow
38,100,239,0,dx_hand
38,351,200,0,sx_shoulder
38,420,234,0,sx_elbow
38,500,260,0,sx_hand
39,309,125,0,head
39,302,197,0,neck
39,260,200,0,dx_shoulder
39,188,218,0,dx_elbow
39,97,230,0,dx_hand
39,353,200,0,sx_shoulder
39,425,232,0,sx_elbow
39,502,253,0,sx_hand
40,311,125,0,head
40,302,197,0,neck
40,255,197,0,dx_shoulder
40,186,211,0,dx_elbow
40,97,218,0,dx_hand
40,353,197,0,sx_shoulder
40,425,223,0,sx_elbow
40,509,237,0,sx_hand
41,309,125,0,head
41,300,197,0,neck
41,251,195,0,dx_shoulder
41,176,202,0,dx_elbow
41,95,202,0,dx_hand
41,351,197,0,sx_shoulder
41,427,218,0,sx_elbow
41,511,223,0,sx_hand
42,306,125,0,head
42,300,195,0,neck
42,248,193,0,dx_shoulder
42,181,200,0,dx_elbow
42,90,193,0,dx_hand
42,351,197,0,sx_shoulder
42,427,213,0,sx_elbow
42,513,218,0,sx_hand
43,309,125,0,head
43,300,193,0,neck
43,251,190,0,dx_shoulder
43,181,195,0,dx_elbow
43,93,181,0,dx_hand
43,353,195,0,sx_shoulder
43,427,202,0,sx_elbow
43,516,202,0,sx_hand
44,311,125,0,head
44,302,190,0,neck
44,260,186,0,dx_shoulder
44,181,186,0,dx_elbow
44,90,167,0,dx_hand
44,353,193,0,sx_shoulder
44,434,197,0,sx_elbow
44,516,183,0,sx_hand
45,309,125,0,head
45,302,188,0,neck
45,260,183,0,dx_shoulder
45,174,183,0,dx_elbow
45,86,162,0,dx_hand
45,353,190,0,sx_shoulder
45,432,197,0,sx_elbow
45,513,181,0,sx_hand
46,309,125,0,head
46,302,186,0,neck
46,258,183,0,dx_shoulder
46,176,181,0,dx_elbow
46,95,151,0,dx_hand
46,353,188,0,sx_shoulder
46,430,186,0,sx_elbow
46,516,169,0,sx_hand
47,309,125,0,head
47,302,186,0,neck
47,258,183,0,dx_shoulder
47,179,176,0,dx_elbow
47,97,146,0,dx_hand
47,353,186,0,sx_shoulder
47,432,183,0,sx_elbow
47,516,165,0,sx_hand
48,306,125,0,head
48,302,186,0,neck
48,255,183,0,dx_shoulder
48,176,169,0,dx_elbow
